ID,Name,Symbol
412,Bitcoin Cash,BCH
413,Bitcoin Cash,BCH
414,Bitcoin Cash,BCH
415,Bitcoin Cash,BCH
416,Bitcoin Cash,BCH
417,Bitcoin Cash,BCH
418,Bitcoin Cash,BCH
419,Bitcoin Cash,BCH
420,Bitcoin Cash,BCH
421,Bitcoin Cash,BCH
422,Bitcoin Cash,BCH
423,Bitcoin Cash,BCH
424,Bitcoin Cash,BCH
425,Bitcoin Cash,BCH
426,Bitcoin Cash,BCH
427,Bitcoin Cash,BCH
428,Bitcoin Cash,BCH
429,Bitcoin Cash,BCH
430,Bitcoin Cash,BCH
431,Bitcoin Cash,BCH
432,Bitcoin Cash,BCH
433,Bitcoin Cash,BCH
434,Bitcoin Cash,BCH
435,Bitcoin Cash,BCH
436,Bitcoin Cash,BCH
437,Bitcoin Cash,BCH
438,Bitcoin Cash,BCH
439,Bitcoin Cash,BCH
440,Bitcoin Cash,BCH
441,Bitcoin Cash,BCH
442,Bitcoin Cash,BCH
443,Bitcoin Cash,BCH
444,Bitcoin Cash,BCH
445,Bitcoin Cash,BCH
446,Bitcoin Cash,BCH
447,Bitcoin Cash,BCH
448,Bitcoin Cash,BCH
449,Bitcoin Cash,BCH
450,Bitcoin Cash,BCH
451,Bitcoin Cash,BCH
452,Bitcoin Cash,BCH
453,Bitcoin Cash,BCH
454,Bitcoin Cash,BCH
455,Bitcoin Cash,BCH
456,Bitcoin Cash,BCH
457,Bitcoin Cash,BCH
458,Bitcoin Cash,BCH
459,Bitcoin Cash,BCH
460,Bitcoin Cash,BCH
461,Bitcoin Cash,BCH
462,Bitcoin Cash,BCH
463,Bitcoin Cash,BCH
464,Bitcoin Cash,BCH
465,Bitcoin Cash,BCH
466,Bitcoin Cash,BCH
467,Bitcoin Cash,BCH
468,Bitcoin Cash,BCH
469,Bitcoin Cash,BCH
470,Bitcoin Cash,BCH
471,Bitcoin Cash,BCH
472,Bitcoin Cash,BCH
473,Bitcoin Cash,BCH
474,Bitcoin Cash,BCH
475,Bitcoin Cash,BCH
476,Bitcoin Cash,BCH
477,Bitcoin Cash,BCH
478,Bitcoin Cash,BCH
479,Bitcoin Cash,BCH
480,Bitcoin Cash,BCH
481,Bitcoin Cash,BCH
482,Bitcoin Cash,BCH
483,Bitcoin Cash,BCH
484,Bitcoin Cash,BCH
485,Bitcoin Cash,BCH
